127.0.0.1 - - [04/Dec/2014:11:09:28 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:24 +0900] "GET /sale_on/main.do HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:24 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:26 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:26 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:27 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:27 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:28 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 200 6627
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:28 +0900] "GET /sale_on/asset/css/redmond/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:28 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:28 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:31 +0900] "GET /sale_on/business/companyCardMgmtList.do HTTP/1.1" 200 22885
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:31 +0900] "GET /sale_on/asset/css/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2014:11:12:31 +0900] "GET /sale_on/asset/js/business.js HTTP/1.1" 304 -
