127.0.0.1 - - [13/Feb/2015:10:17:16 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 200 34410
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/img/logo.jpg HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.eot? HTTP/1.1" 200 755379
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/img/bg_login.gif HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/img/bg_login_cont.png HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.eot? HTTP/1.1" 200 788673
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:27:34 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.eot? HTTP/1.1" 200 752754
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/main.do HTTP/1.1" 200 8071
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/asset/js/jquery.bpopup.min.js HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/asset/img/gnb_icon_01.jpg HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/asset/img/tabs_header_bg.jpg HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/asset/img/gnb_icon_03.jpg HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [13/Feb/2015:10:28:56 +0900] "GET /sale_on/asset/img/tabs_icons.png HTTP/1.1" 200 150
