127.0.0.1 - - [15/Jun/2015:11:14:09 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5925
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/js/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/js/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/css/gw_sample.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/js/placeholders.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:10 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/img/bg_login_cont.png HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/img/bg_login.gif HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 200 1007984
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff HTTP/1.1" 200 1020132
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff HTTP/1.1" 200 1028900
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:11 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:16 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:18 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:20 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:22:31 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [15/Jun/2015:11:24:30 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 500 2526
