127.0.0.1 - - [13/Nov/2014:09:15:43 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:52 +0900] "GET /sale_on/main.do HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:55 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:55 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:55 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/main.do HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/css/doworld.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/css/ck.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/gnb_icon_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/gnb_icon_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/gnb_icon_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/gnb_info_bar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/tabs_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/img/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:56 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:59 +0900] "GET /sale_on/asset/img/gnb_sub_bg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:59 +0900] "GET /asset/img/gnb_icon_03_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:33:59 +0900] "GET /sale_on/asset/img/gnb_sub_bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:34:01 +0900] "GET /asset/img/gnb_icon_03.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:34:17 +0900] "GET /asset/img/gnb_icon_02_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:34:18 +0900] "GET /asset/img/gnb_icon_02.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:34:18 +0900] "GET /asset/img/gnb_icon_03_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:34:18 +0900] "GET /asset/img/gnb_icon_03.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /asset/img/gnb_icon_03_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /asset/img/gnb_icon_03.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/main.do HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/gw_sample.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/js/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/redmond/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/ck.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/doworld.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/gnb_icon_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/gnb_icon_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/gnb_icon_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/gnb_info_bar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:34 +0900] "GET /sale_on/asset/img/tabs_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:36 +0900] "GET /sale_on/main.do HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:37 +0900] "GET /asset/img/gnb_icon_01_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:37 +0900] "GET /asset/img/gnb_icon_01.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:40 +0900] "GET /asset/img/gnb_icon_03_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:42 +0900] "GET /sale_on/business/saleList.do HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:42 +0900] "GET /sale_on/asset/js/grid.locale-kr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:42 +0900] "GET /sale_on/asset/js/business.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:42 +0900] "GET /sale_on/asset/js/jquery.jqGrid.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:42 +0900] "GET /sale_on/business/saleList.do?_search=false&nd=1415842602683&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [13/Nov/2014:10:36:42 +0900] "GET /asset/img/gnb_icon_03.jpg HTTP/1.1" 404 1001
