127.0.0.1 - - [22/Apr/2015:11:05:02 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:05 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:05 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:21 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:39 +0900] "GET /sale_on/main.do HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:39 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 200 34480
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:39 +0900] "GET /sale_on/asset/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/js/placeholders.js HTTP/1.1" 200 20549
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 200 30154
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/jquery-ui.css HTTP/1.1" 200 32790
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 200 43835
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/gw_sample.css HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/fonts.css HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/smoothness/jquery-ui.theme.css HTTP/1.1" 200 31884
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/js/jquery.easyui.min.js HTTP/1.1" 200 366823
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/img/logo.jpg HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/icon.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/img/bg_login_cont.png HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:40 +0900] "GET /sale_on/asset/img/bg_login.gif HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:41 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff HTTP/1.1" 200 1020132
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:41 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 200 1007984
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:41 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff HTTP/1.1" 200 1028900
